trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Panauti2BirHospital_T02,07:05:00,07:05:00,14,8,Millenium (wb),,,,,5.674,1
Panauti2BirHospital_T02,07:10:00,07:10:00,17,9,Chardobato (wb),,,,,5.723,1
Panauti2BirHospital_T02,07:15:00,07:15:00,19,10,Tindobato (wb),,,,,5.987,1
Panauti2BirHospital_T02,07:20:00,07:20:00,20,11,Janagal (wb),,,,,6.495,1
Panauti2BirHospital_T02,07:25:00,07:25:00,22,12,Curex (wb),,,,,7.65,1
Panauti2BirHospital_T02,07:30:00,07:30:00,24,13,Bhaisepati (wb),,,,,8.672,1
Panauti2BirHospital_T02,07:35:00,07:35:00,26,14,Nasikasthan (wb),,,,,9.532,1
Panauti2BirHospital_T02,07:40:00,07:40:00,28,15,Sanga (wb),,,,,10.546,1
Panauti2BirHospital_T02,07:45:00,07:45:00,30,16,Jholunge Pul (wb),,,,,11.016,1
Panauti2BirHospital_T02,07:50:00,07:50:00,32,17,Palanse (wb),,,,,11.388,1
Panauti2BirHospital_T02,07:55:00,07:55:00,35,18,Jorpati (wb),,,,,12.613,1
Panauti2BirHospital_T02,08:00:00,08:00:00,36,19,Milanchowk (wb),,,,,13.7,1
Panauti2BirHospital_T02,08:05:00,08:05:00,38,20,Nalinchowk (wb),,,,,13.942,1
Panauti2BirHospital_T02,08:10:00,08:10:00,40,21,Bansghari (wb),,,,,14.211,1
Panauti2BirHospital_T02,08:15:00,08:15:00,43,22,Bhate Dhikur (wb),,,,,14.942,1
Panauti2BirHospital_T02,08:20:00,08:20:00,45,23,Jagati (wb),,,,,15.626,1
Panauti2BirHospital_T02,08:25:00,08:25:00,47,24,Aadarsha (wb),,,,,16.706,1
Panauti2BirHospital_T02,08:30:00,08:30:00,49,25,Suryabinayak Wari (wb),,,,,17.102,1
Panauti2BirHospital_T02,08:35:00,08:35:00,50,26,Suryabinayak Pari (wb),,,,,17.922,1
Panauti2BirHospital_T02,08:40:00,08:40:00,51,27,Sallaghari (wb),,,,,18.115,1
Panauti2BirHospital_T02,08:45:00,08:45:00,53,28,Suryabinayak (eb),,,,,19.88,1
Panauti2BirHospital_T02,08:50:00,08:50:00,56,29,Radhe Radhe (wb),,,,,20.149,1
Panauti2BirHospital_T02,08:55:00,08:55:00,57,30,SS Chowk (wb),,,,,20.935,1
Panauti2BirHospital_T02,09:00:00,09:00:00,60,31,Thimi (wb),,,,,21.556,1
Panauti2BirHospital_T02,09:05:00,09:05:00,62,32,Chardobato (wb),,,,,22.114,1
Panauti2BirHospital_T02,09:10:00,09:10:00,64,33,Gatthaghar (wb),,,,,22.334,1
Panauti2BirHospital_T02,09:15:00,09:15:00,66,34,Kaushaltar (wb),,,,,22.334,1
Panauti2BirHospital_T02,09:20:00,09:20:00,67,35,Lokanthali (wb),,,,,24.419,1
Panauti2BirHospital_T02,09:25:00,09:25:00,69,36,Jadibuti (wb),,,,,24.686,1
Panauti2BirHospital_T02,09:30:00,09:30:00,71,37,Koteshowr (wb),,,,,25.405,1
Panauti2BirHospital_T02,09:35:00,09:35:00,73,38,Tinkune (wb),,,,,26.12,1
Panauti2BirHospital_T02,09:40:00,09:40:00,75,39,Civil Hospital (wb),,,,,26.812,1
Panauti2BirHospital_T02,09:45:00,09:45:00,77,40,New Baneshowr (wb),,,,,27.785,1
Panauti2BirHospital_T02,09:50:00,09:50:00,79,41,Babar Mahal (wb),,,,,28.021,1
Panauti2BirHospital_T02,09:55:00,09:55:00,81,42,Maitighar (wb),,,,,29.39,1
Panauti2BirHospital_T02,10:00:00,10:00:00,83,43,Singha Durbar (wb),,,,,29.582,1
Panauti2BirHospital_T02,10:05:00,10:05:00,85,44,Sahid Gate (wb),,,,,29.667,1
Panauti2BirHospital_T02,10:10:00,10:10:00,86,45,RNAC (wb),,,,,30.234,1
Panauti2BirHospital_T02,10:15:00,10:15:00,87,46,Bir Hospital Bus Park (Flag),,,,,31.049,1
Panauti2BirHospital_T03,07:00:00,07:00:00,1,1,Bansghari (wb),,,,,0,1
Panauti2BirHospital_T03,07:05:00,07:05:00,3,2,Dudh Mill (wb),,,,,1.451,1
Panauti2BirHospital_T03,07:10:00,07:10:00,5,3,Dhalmale (wb),,,,,1.451,1
Panauti2BirHospital_T03,07:15:00,07:15:00,7,4,Chaukot (wb),,,,,2.168,1
Panauti2BirHospital_T03,07:20:00,07:20:00,9,5,SOS School (wb),,,,,3.448,1
Panauti2BirHospital_T03,07:25:00,07:25:00,11,6,Dhaneshowr (wb),,,,,4.129,1
Panauti2BirHospital_T03,07:30:00,07:30:00,13,7,Media Chowk (wb),,,,,4.979,1
Panauti2BirHospital_T03,07:35:00,07:35:00,14,8,Millenium (wb),,,,,5.674,1
Panauti2BirHospital_T03,07:40:00,07:40:00,17,9,Chardobato (wb),,,,,5.723,1
Panauti2BirHospital_T03,07:45:00,07:45:00,19,10,Tindobato (wb),,,,,5.987,1
Panauti2BirHospital_T03,07:50:00,07:50:00,20,11,Janagal (wb),,,,,6.495,1
Panauti2BirHospital_T03,07:55:00,07:55:00,22,12,Curex (wb),,,,,7.65,1
Panauti2BirHospital_T03,08:00:00,08:00:00,24,13,Bhaisepati (wb),,,,,8.672,1
Panauti2BirHospital_T03,08:05:00,08:05:00,26,14,Nasikasthan (wb),,,,,9.532,1
Panauti2BirHospital_T03,08:10:00,08:10:00,28,15,Sanga (wb),,,,,10.546,1
Panauti2BirHospital_T03,08:15:00,08:15:00,30,16,Jholunge Pul (wb),,,,,11.016,1
Panauti2BirHospital_T03,08:20:00,08:20:00,32,17,Palanse (wb),,,,,11.388,1
Panauti2BirHospital_T03,08:25:00,08:25:00,35,18,Jorpati (wb),,,,,12.613,1
Panauti2BirHospital_T03,08:30:00,08:30:00,36,19,Milanchowk (wb),,,,,13.7,1
Panauti2BirHospital_T03,08:35:00,08:35:00,38,20,Nalinchowk (wb),,,,,13.942,1
Panauti2BirHospital_T03,08:40:00,08:40:00,40,21,Bansghari (wb),,,,,14.211,1
Panauti2BirHospital_T03,08:45:00,08:45:00,43,22,Bhate Dhikur (wb),,,,,14.942,1
Panauti2BirHospital_T03,08:50:00,08:50:00,45,23,Jagati (wb),,,,,15.626,1
Panauti2BirHospital_T03,08:55:00,08:55:00,47,24,Aadarsha (wb),,,,,16.706,1
Panauti2BirHospital_T03,09:00:00,09:00:00,49,25,Suryabinayak Wari (wb),,,,,17.102,1
Panauti2BirHospital_T03,09:05:00,09:05:00,50,26,Suryabinayak Pari (wb),,,,,17.922,1
Panauti2BirHospital_T03,09:10:00,09:10:00,51,27,Sallaghari (wb),,,,,18.115,1
Panauti2BirHospital_T03,09:15:00,09:15:00,53,28,Suryabinayak (eb),,,,,19.88,1
Panauti2BirHospital_T03,09:20:00,09:20:00,56,29,Radhe Radhe (wb),,,,,20.149,1
Panauti2BirHospital_T03,09:25:00,09:25:00,57,30,SS Chowk (wb),,,,,20.935,1
Panauti2BirHospital_T03,09:30:00,09:30:00,60,31,Thimi (wb),,,,,21.556,1
Panauti2BirHospital_T03,09:35:00,09:35:00,62,32,Chardobato (wb),,,,,22.114,1
Panauti2BirHospital_T03,09:40:00,09:40:00,64,33,Gatthaghar (wb),,,,,22.334,1
Panauti2BirHospital_T03,09:45:00,09:45:00,66,34,Kaushaltar (wb),,,,,22.334,1
Panauti2BirHospital_T03,09:50:00,09:50:00,67,35,Lokanthali (wb),,,,,24.419,1
Panauti2BirHospital_T03,09:55:00,09:55:00,69,36,Jadibuti (wb),,,,,24.686,1
Panauti2BirHospital_T03,10:00:00,10:00:00,71,37,Koteshowr (wb),,,,,25.405,1
Panauti2BirHospital_T03,10:05:00,10:05:00,73,38,Tinkune (wb),,,,,26.12,1
Panauti2BirHospital_T03,10:10:00,10:10:00,75,39,Civil Hospital (wb),,,,,26.812,1
Panauti2BirHospital_T03,10:15:00,10:15:00,77,40,New Baneshowr (wb),,,,,27.785,1
Panauti2BirHospital_T03,10:20:00,10:20:00,79,41,Babar Mahal (wb),,,,,28.021,1
Panauti2BirHospital_T03,10:25:00,10:25:00,81,42,Maitighar (wb),,,,,29.39,1
Panauti2BirHospital_T03,10:30:00,10:30:00,83,43,Singha Durbar (wb),,,,,29.582,1
Panauti2BirHospital_T03,10:35:00,10:35:00,85,44,Sahid Gate (wb),,,,,29.667,1
Panauti2BirHospital_T03,10:40:00,10:40:00,86,45,RNAC (wb),,,,,30.234,1
Panauti2BirHospital_T03,10:45:00,10:45:00,87,46,Bir Hospital Bus Park (Flag),,,,,31.049,1
Panauti2BirHospital_T04,07:30:00,07:30:00,1,1,Bansghari (wb),,,,,0,1
Panauti2BirHospital_T04,07:35:00,07:35:00,3,2,Dudh Mill (wb),,,,,1.451,1
Panauti2BirHospital_T04,07:40:00,07:40:00,5,3,Dhalmale (wb),,,,,1.451,1
Panauti2BirHospital_T04,07:45:00,07:45:00,7,4,Chaukot (wb),,,,,2.168,1
Panauti2BirHospital_T04,07:50:00,07:50:00,9,5,SOS School (wb),,,,,3.448,1
Panauti2BirHospital_T04,07:55:00,07:55:00,11,6,Dhaneshowr (wb),,,,,4.129,1
Panauti2BirHospital_T04,08:00:00,08:00:00,13,7,Media Chowk (wb),,,,,4.979,1
Panauti2BirHospital_T04,08:05:00,08:05:00,14,8,Millenium (wb),,,,,5.674,1
Panauti2BirHospital_T04,08:10:00,08:10:00,17,9,Chardobato (wb),,,,,5.723,1
Panauti2BirHospital_T04,08:15:00,08:15:00,19,10,Tindobato (wb),,,,,5.987,1
Panauti2BirHospital_T04,08:20:00,08:20:00,20,11,Janagal (wb),,,,,6.495,1
Panauti2BirHospital_T04,08:25:00,08:25:00,22,12,Curex (wb),,,,,7.65,1
Panauti2BirHospital_T04,08:30:00,08:30:00,24,13,Bhaisepati (wb),,,,,8.672,1
Panauti2BirHospital_T04,08:35:00,08:35:00,26,14,Nasikasthan (wb),,,,,9.532,1
Panauti2BirHospital_T04,08:40:00,08:40:00,28,15,Sanga (wb),,,,,10.546,1
Panauti2BirHospital_T04,08:45:00,08:45:00,30,16,Jholunge Pul (wb),,,,,11.016,1
Panauti2BirHospital_T04,08:50:00,08:50:00,32,17,Palanse (wb),,,,,11.388,1
Panauti2BirHospital_T04,08:55:00,08:55:00,35,18,Jorpati (wb),,,,,12.613,1
Panauti2BirHospital_T04,09:00:00,09:00:00,36,19,Milanchowk (wb),,,,,13.7,1
Panauti2BirHospital_T04,09:05:00,09:05:00,38,20,Nalinchowk (wb),,,,,13.942,1
Panauti2BirHospital_T04,09:10:00,09:10:00,40,21,Bansghari (wb),,,,,14.211,1
Panauti2BirHospital_T04,09:15:00,09:15:00,43,22,Bhate Dhikur (wb),,,,,14.942,1
Panauti2BirHospital_T04,09:20:00,09:20:00,45,23,Jagati (wb),,,,,15.626,1
Panauti2BirHospital_T04,09:25:00,09:25:00,47,24,Aadarsha (wb),,,,,16.706,1
Panauti2BirHospital_T04,09:30:00,09:30:00,49,25,Suryabinayak Wari (wb),,,,,17.102,1
Panauti2BirHospital_T04,09:35:00,09:35:00,50,26,Suryabinayak Pari (wb),,,,,17.922,1
Panauti2BirHospital_T04,09:40:00,09:40:00,51,27,Sallaghari (wb),,,,,18.115,1
Panauti2BirHospital_T04,09:45:00,09:45:00,53,28,Suryabinayak (eb),,,,,19.88,1
Panauti2BirHospital_T04,09:50:00,09:50:00,56,29,Radhe Radhe (wb),,,,,20.149,1
Panauti2BirHospital_T04,09:55:00,09:55:00,57,30,SS Chowk (wb),,,,,20.935,1
Panauti2BirHospital_T04,10:00:00,10:00:00,60,31,Thimi (wb),,,,,21.556,1
Panauti2BirHospital_T04,10:05:00,10:05:00,62,32,Chardobato (wb),,,,,22.114,1
Panauti2BirHospital_T04,10:10:00,10:10:00,64,33,Gatthaghar (wb),,,,,22.334,1
Panauti2BirHospital_T04,10:15:00,10:15:00,66,34,Kaushaltar (wb),,,,,22.334,1
Panauti2BirHospital_T04,10:20:00,10:20:00,67,35,Lokanthali (wb),,,,,24.419,1
Panauti2BirHospital_T04,10:25:00,10:25:00,69,36,Jadibuti (wb),,,,,24.686,1
Panauti2BirHospital_T04,10:30:00,10:30:00,71,37,Koteshowr (wb),,,,,25.405,1
Panauti2BirHospital_T04,10:35:00,10:35:00,73,38,Tinkune (wb),,,,,26.12,1
Panauti2BirHospital_T04,10:40:00,10:40:00,75,39,Civil Hospital (wb),,,,,26.812,1
Panauti2BirHospital_T04,10:45:00,10:45:00,77,40,New Baneshowr (wb),,,,,27.785,1
Panauti2BirHospital_T04,10:50:00,10:50:00,79,41,Babar Mahal (wb),,,,,28.021,1
Panauti2BirHospital_T04,10:55:00,10:55:00,81,42,Maitighar (wb),,,,,29.39,1
Panauti2BirHospital_T04,11:00:00,11:00:00,83,43,Singha Durbar (wb),,,,,29.582,1
Panauti2BirHospital_T04,11:05:00,11:05:00,85,44,Sahid Gate (wb),,,,,29.667,1
Panauti2BirHospital_T04,11:10:00,11:10:00,86,45,RNAC (wb),,,,,30.234,1
Panauti2BirHospital_T04,11:15:00,11:15:00,87,46,Bir Hospital Bus Park (Flag),,,,,31.049,1
Panauti2BirHospital_T05,08:00:00,08:00:00,1,1,Bansghari (wb),,,,,0,1
Panauti2BirHospital_T05,08:05:00,08:05:00,3,2,Dudh Mill (wb),,,,,1.451,1
Panauti2BirHospital_T05,08:10:00,08:10:00,5,3,Dhalmale (wb),,,,,1.451,1
Panauti2BirHospital_T05,08:15:00,08:15:00,7,4,Chaukot (wb),,,,,2.168,1
Panauti2BirHospital_T05,08:20:00,08:20:00,9,5,SOS School (wb),,,,,3.448,1
Panauti2BirHospital_T05,08:25:00,08:25:00,11,6,Dhaneshowr (wb),,,,,4.129,1
Panauti2BirHospital_T05,08:30:00,08:30:00,13,7,Media Chowk (wb),,,,,4.979,1
Panauti2BirHospital_T05,08:35:00,08:35:00,14,8,Millenium (wb),,,,,5.674,1
Panauti2BirHospital_T05,08:40:00,08:40:00,17,9,Chardobato (wb),,,,,5.723,1
Panauti2BirHospital_T05,08:45:00,08:45:00,19,10,Tindobato (wb),,,,,5.987,1
Panauti2BirHospital_T05,08:50:00,08:50:00,20,11,Janagal (wb),,,,,6.495,1
Panauti2BirHospital_T05,08:55:00,08:55:00,22,12,Curex (wb),,,,,7.65,1
Panauti2BirHospital_T05,09:00:00,09:00:00,24,13,Bhaisepati (wb),,,,,8.672,1
Panauti2BirHospital_T05,09:05:00,09:05:00,26,14,Nasikasthan (wb),,,,,9.532,1
Panauti2BirHospital_T05,09:10:00,09:10:00,28,15,Sanga (wb),,,,,10.546,1
Panauti2BirHospital_T05,09:15:00,09:15:00,30,16,Jholunge Pul (wb),,,,,11.016,1
Panauti2BirHospital_T05,09:20:00,09:20:00,32,17,Palanse (wb),,,,,11.388,1
Panauti2BirHospital_T05,09:25:00,09:25:00,35,18,Jorpati (wb),,,,,12.613,1
Panauti2BirHospital_T05,09:30:00,09:30:00,36,19,Milanchowk (wb),,,,,13.7,1
Panauti2BirHospital_T05,09:35:00,09:35:00,38,20,Nalinchowk (wb),,,,,13.942,1
Panauti2BirHospital_T05,09:40:00,09:40:00,40,21,Bansghari (wb),,,,,14.211,1
Panauti2BirHospital_T05,09:45:00,09:45:00,43,22,Bhate Dhikur (wb),,,,,14.942,1
Panauti2BirHospital_T05,09:50:00,09:50:00,45,23,Jagati (wb),,,,,15.626,1
Panauti2BirHospital_T05,09:55:00,09:55:00,47,24,Aadarsha (wb),,,,,16.706,1
Panauti2BirHospital_T05,10:00:00,10:00:00,49,25,Suryabinayak Wari (wb),,,,,17.102,1
Panauti2BirHospital_T05,10:05:00,10:05:00,50,26,Suryabinayak Pari (wb),,,,,17.922,1
Panauti2BirHospital_T05,10:10:00,10:10:00,51,27,Sallaghari (wb),,,,,18.115,1
Panauti2BirHospital_T05,10:15:00,10:15:00,53,28,Suryabinayak (eb),,,,,19.88,1
Panauti2BirHospital_T05,10:20:00,10:20:00,56,29,Radhe Radhe (wb),,,,,20.149,1
Panauti2BirHospital_T05,10:25:00,10:25:00,57,30,SS Chowk (wb),,,,,20.935,1
Panauti2BirHospital_T05,10:30:00,10:30:00,60,31,Thimi (wb),,,,,21.556,1
Panauti2BirHospital_T05,10:35:00,10:35:00,62,32,Chardobato (wb),,,,,22.114,1
Panauti2BirHospital_T05,10:40:00,10:40:00,64,33,Gatthaghar (wb),,,,,22.334,1
Panauti2BirHospital_T05,10:45:00,10:45:00,66,34,Kaushaltar (wb),,,,,22.334,1
Panauti2BirHospital_T05,10:50:00,10:50:00,67,35,Lokanthali (wb),,,,,24.419,1
Panauti2BirHospital_T05,10:55:00,10:55:00,69,36,Jadibuti (wb),,,,,24.686,1
Panauti2BirHospital_T05,11:00:00,11:00:00,71,37,Koteshowr (wb),,,,,25.405,1
Panauti2BirHospital_T05,11:05:00,11:05:00,73,38,Tinkune (wb),,,,,26.12,1
Panauti2BirHospital_T05,11:10:00,11:10:00,75,39,Civil Hospital (wb),,,,,26.812,1
Panauti2BirHospital_T05,11:15:00,11:15:00,77,40,New Baneshowr (wb),,,,,27.785,1
Panauti2BirHospital_T05,11:20:00,11:20:00,79,41,Babar Mahal (wb),,,,,28.021,1
Panauti2BirHospital_T05,11:25:00,11:25:00,81,42,Maitighar (wb),,,,,29.39,1
Panauti2BirHospital_T05,11:30:00,11:30:00,83,43,Singha Durbar (wb),,,,,29.582,1
Panauti2BirHospital_T05,11:35:00,11:35:00,85,44,Sahid Gate (wb),,,,,29.667,1
Panauti2BirHospital_T05,11:40:00,11:40:00,86,45,RNAC (wb),,,,,30.234,1
Panauti2BirHospital_T05,11:45:00,11:45:00,87,46,Bir Hospital Bus Park (Flag),,,,,31.049,1
Panauti2BirHospital_T06,08:30:00,08:30:00,1,1,Bansghari (wb),,,,,0,1
Panauti2BirHospital_T06,08:35:00,08:35:00,3,2,Dudh Mill (wb),,,,,1.451,1
Panauti2BirHospital_T06,08:40:00,08:40:00,5,3,Dhalmale (wb),,,,,1.451,1
Panauti2BirHospital_T06,08:45:00,08:45:00,7,4,Chaukot (wb),,,,,2.168,1
Panauti2BirHospital_T06,08:50:00,08:50:00,9,5,SOS School (wb),,,,,3.448,1
Panauti2BirHospital_T06,08:55:00,08:55:00,11,6,Dhaneshowr (wb),,,,,4.129,1
Panauti2BirHospital_T06,09:00:00,09:00:00,13,7,Media Chowk (wb),,,,,4.979,1
Panauti2BirHospital_T06,09:05:00,09:05:00,14,8,Millenium (wb),,,,,5.674,1
Panauti2BirHospital_T06,09:10:00,09:10:00,17,9,Chardobato (wb),,,,,5.723,1
Panauti2BirHospital_T06,09:15:00,09:15:00,19,10,Tindobato (wb),,,,,5.987,1
Panauti2BirHospital_T06,09:20:00,09:20:00,20,11,Janagal (wb),,,,,6.495,1
Panauti2BirHospital_T06,09:25:00,09:25:00,22,12,Curex (wb),,,,,7.65,1
Panauti2BirHospital_T06,09:30:00,09:30:00,24,13,Bhaisepati (wb),,,,,8.672,1
Panauti2BirHospital_T06,09:35:00,09:35:00,26,14,Nasikasthan (wb),,,,,9.532,1
Panauti2BirHospital_T06,09:40:00,09:40:00,28,15,Sanga (wb),,,,,10.546,1
Panauti2BirHospital_T06,09:45:00,09:45:00,30,16,Jholunge Pul (wb),,,,,11.016,1
Panauti2BirHospital_T06,09:50:00,09:50:00,32,17,Palanse (wb),,,,,11.388,1
Panauti2BirHospital_T06,09:55:00,09:55:00,35,18,Jorpati (wb),,,,,12.613,1
Panauti2BirHospital_T06,10:00:00,10:00:00,36,19,Milanchowk (wb),,,,,13.7,1
Panauti2BirHospital_T06,10:05:00,10:05:00,38,20,Nalinchowk (wb),,,,,13.942,1
Panauti2BirHospital_T06,10:10:00,10:10:00,40,21,Bansghari (wb),,,,,14.211,1
Panauti2BirHospital_T06,10:15:00,10:15:00,43,22,Bhate Dhikur (wb),,,,,14.942,1
Panauti2BirHospital_T06,10:20:00,10:20:00,45,23,Jagati (wb),,,,,15.626,1
Panauti2BirHospital_T06,10:25:00,10:25:00,47,24,Aadarsha (wb),,,,,16.706,1
Panauti2BirHospital_T06,10:30:00,10:30:00,49,25,Suryabinayak Wari (wb),,,,,17.102,1
Panauti2BirHospital_T06,10:35:00,10:35:00,50,26,Suryabinayak Pari (wb),,,,,17.922,1
Panauti2BirHospital_T06,10:40:00,10:40:00,51,27,Sallaghari (wb),,,,,18.115,1
Panauti2BirHospital_T06,10:45:00,10:45:00,53,28,Suryabinayak (eb),,,,,19.88,1
Panauti2BirHospital_T06,10:50:00,10:50:00,56,29,Radhe Radhe (wb),,,,,20.149,1
Panauti2BirHospital_T06,10:55:00,10:55:00,57,30,SS Chowk (wb),,,,,20.935,1
Panauti2BirHospital_T06,11:00:00,11:00:00,60,31,Thimi (wb),,,,,21.556,1
Panauti2BirHospital_T06,11:05:00,11:05:00,62,32,Chardobato (wb),,,,,22.114,1
Panauti2BirHospital_T06,11:10:00,11:10:00,64,33,Gatthaghar (wb),,,,,22.334,1
Panauti2BirHospital_T06,11:15:00,11:15:00,66,34,Kaushaltar (wb),,,,,22.334,1
Panauti2BirHospital_T06,11:20:00,11:20:00,67,35,Lokanthali (wb),,,,,24.419,1
Panauti2BirHospital_T06,11:25:00,11:25:00,69,36,Jadibuti (wb),,,,,24.686,1
Panauti2BirHospital_T06,11:30:00,11:30:00,71,37,Koteshowr (wb),,,,,25.405,1
Panauti2BirHospital_T06,11:35:00,11:35:00,73,38,Tinkune (wb),,,,,26.12,1
Panauti2BirHospital_T06,11:40:00,11:40:00,75,39,Civil Hospital (wb),,,,,26.812,1
Panauti2BirHospital_T06,11:45:00,11:45:00,77,40,New Baneshowr (wb),,,,,27.785,1
Panauti2BirHospital_T06,11:50:00,11:50:00,79,41,Babar Mahal (wb),,,,,28.021,1
Panauti2BirHospital_T06,11:55:00,11:55:00,81,42,Maitighar (wb),,,,,29.39,1
Panauti2BirHospital_T06,12:00:00,12:00:00,83,43,Singha Durbar (wb),,,,,29.582,1
Panauti2BirHospital_T06,12:05:00,12:05:00,85,44,Sahid Gate (wb),,,,,29.667,1
Panauti2BirHospital_T06,12:10:00,12:10:00,86,45,RNAC (wb),,,,,30.234,1
Panauti2BirHospital_T06,12:15:00,12:15:00,87,46,Bir Hospital Bus Park (Flag),,,,,31.049,1
